,Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
3367,BDCQ.SEA2BT,2017.12,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3368,BDCQ.SEA2BT,2018.03,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3369,BDCQ.SEA2BT,2018.06,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3370,BDCQ.SEA2BT,2018.09,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3371,BDCQ.SEA2BT,2018.12,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3372,BDCQ.SEA2BT,2019.03,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3373,BDCQ.SEA2BT,2019.06,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3374,BDCQ.SEA2BT,2019.09,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3375,BDCQ.SEA2BT,2019.12,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3376,BDCQ.SEA2BT,2020.03,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3377,BDCQ.SEA2BT,2020.06,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3378,BDCQ.SEA2BT,2020.09,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3379,BDCQ.SEA2BT,2020.12,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3432,BDCQ.SEA2CS,2011.06,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3433,BDCQ.SEA2CS,2011.09,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3434,BDCQ.SEA2CS,2011.12,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3435,BDCQ.SEA2CS,2012.03,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3436,BDCQ.SEA2CS,2012.06,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3437,BDCQ.SEA2CS,2012.09,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3438,BDCQ.SEA2CS,2012.12,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3439,BDCQ.SEA2CS,2013.03,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3440,BDCQ.SEA2CS,2013.06,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3441,BDCQ.SEA2CS,2013.09,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3442,BDCQ.SEA2CS,2013.12,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3443,BDCQ.SEA2CS,2014.03,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3444,BDCQ.SEA2CS,2014.06,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3445,BDCQ.SEA2CS,2014.09,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3446,BDCQ.SEA2CS,2014.12,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3447,BDCQ.SEA2CS,2015.03,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3448,BDCQ.SEA2CS,2015.06,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3449,BDCQ.SEA2CS,2015.09,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3450,BDCQ.SEA2CS,2015.12,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3451,BDCQ.SEA2CS,2016.03,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3452,BDCQ.SEA2CS,2016.06,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3453,BDCQ.SEA2CS,2016.09,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3454,BDCQ.SEA2CS,2016.12,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3455,BDCQ.SEA2CS,2017.03,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3456,BDCQ.SEA2CS,2017.06,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3457,BDCQ.SEA2CS,2017.09,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3458,BDCQ.SEA2CS,2017.12,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3459,BDCQ.SEA2CS,2018.03,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3460,BDCQ.SEA2CS,2018.06,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3461,BDCQ.SEA2CS,2018.09,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3462,BDCQ.SEA2CS,2018.12,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3463,BDCQ.SEA2CS,2019.03,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3464,BDCQ.SEA2CS,2019.06,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3465,BDCQ.SEA2CS,2019.09,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3466,BDCQ.SEA2CS,2019.12,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3467,BDCQ.SEA2CS,2020.03,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3468,BDCQ.SEA2CS,2020.06,,Y,F,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3469,BDCQ.SEA2CS,2020.09,,Y,F,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3470,BDCQ.SEA2CS,2020.12,,Y,F,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Seasonally adjusted,,
3471,BDCQ.SEA2CT,2011.06,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Trend,,
3472,BDCQ.SEA2CT,2011.09,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Trend,,
3473,BDCQ.SEA2CT,2011.12,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Trend,,
3474,BDCQ.SEA2CT,2012.03,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Trend,,
3475,BDCQ.SEA2CT,2012.06,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Trend,,
3476,BDCQ.SEA2CT,2012.09,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Trend,,
3477,BDCQ.SEA2CT,2012.12,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Trend,,
3478,BDCQ.SEA2CT,2013.03,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Trend,,
3479,BDCQ.SEA2CT,2013.06,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Trend,,
3480,BDCQ.SEA2CT,2013.09,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Manufacturing,Trend,,
