Series_reference,Data_value
BDCQ.SEE2019A,6957.05292
BDCQ.SEE2020A,2217.33209
BDCQ.SEE2021A,10221.285564
BDCQ.SEE2022A,16465.63364
BDCQ.SEE2023A,37431.380465
BDCQ.SEE2024A,20132.746654
BDCQ.SEE2025A,9795.790133
BDCQ.SEE2026A,1456.595813
BDCQ.SEE2027A,1600.783603
BDCQ.SEE2028A,12672.583423
BDCQ.SEE2029A,2178.290811
BDCQ.SEE2030A,25461.590465
BDCQ.SEE2031A,15985.712146
BDCQ.SEE2032A,4019.120703
BDCQ.SEE2033A,26297.823206
BDCQ.SEE2034A,2133.710369
BDCQ.SEE2035A,7797.458471
BDCQ.SEE2036A,3232.5709580000002
BDCQ.SEE2037A,11445.927497
BDCQ.SEE2038A,3978.253769
BDCQ.SEE2039A,12032.60874
BDCQ.SEE2040A,24099.579167
BDCQ.SEE2041A,4955.999714
BDCQ.SEE2042A,7332.6517380000005
BDCQ.SEE2043A,15341.98522
BDCQ.SEE2044A,21020.602442
BDCQ.SEE2045A,15990.455332
BDCQ.SEE2046A,37932.943384
BDCQ.SEE2047A,95959.38783
BDCQ.SEE2048A,6635.036193
BDCQ.SEE2049A,2382.450187
BDCQ.SEE2050A,3308.637792
BDCQ.SEE2051A,12492.404642
BDCQ.SEE2052A,14266.565863
BDCQ.SEE2053A,16107.324922
BDCQ.SEE2054A,737.419003
BDCQ.SEE2055A,2719.721714
BDCQ.SEE2056A,4110.668084
BDCQ.SEE2057A,2779.814291
BDCQ.SEE2058A,3296.98318
BDCQ.SEE2059A,16855.147854
BDCQ.SEE2060A,129503.065598
BDCQ.SEE2062A,21274.662724
BDCQ.SEE2063A,9680.955262
BDCQ.SEE2064A,15145.267026
BDCQ.SEE2065A,1213.875949
BDCQ.SEE2066A,1821.397104
BDCQ.SEE2067A,121.471228
BDCQ.SEE2068A,6197.333478
BDCQ.SEE2069A,6960.35779
BDCQ.SEE2070A,12566.065998
BDCQ.SEE2071A,38501.350477
BDCQ.SEE2072A,4754.00311
BDCQ.SEE2073A,8700.399059
BDCQ.SEE2074A,3545.039436
BDCQ.SEE2075A,17868.812015
BDCQ.SEE2076A,574961.065557
BDCQ.SEE2999A,0.0
BDCQ.SEE3001A,897510.0
BDCQ.SEE3002A,1628118.0
BDCQ.SEE3003A,299734.0
BDCQ.SEE3011A,441579.0
BDCQ.SEE3012A,255811.0
BDCQ.SEE3013A,888376.0
BDCQ.SEE3015A,684680.0
BDCQ.SEE3016A,4286259.0
BDCQ.SEE3017A,879791.0
BDCQ.SEE3018A,168037.0
BDCQ.SEE3019A,392139.0
BDCQ.SEE3020A,201337.0
BDCQ.SEE3021A,736953.0
BDCQ.SEE3022A,830956.0
BDCQ.SEE3023A,2930647.0
BDCQ.SEE3024A,1462622.0
BDCQ.SEE3025A,649066.0
BDCQ.SEE3026A,124060.0
BDCQ.SEE3027A,155547.0
BDCQ.SEE3028A,962447.0
BDCQ.SEE3029A,141340.0
BDCQ.SEE3030A,1921089.0
BDCQ.SEE3031A,1194209.0
BDCQ.SEE3032A,248757.0
BDCQ.SEE3033A,1698301.0
BDCQ.SEE3034A,133301.0
BDCQ.SEE3035A,566725.0
BDCQ.SEE3036A,251043.0
BDCQ.SEE3037A,840777.0
BDCQ.SEE3038A,248410.0
BDCQ.SEE3039A,436434.0
BDCQ.SEE3040A,2344234.0
BDCQ.SEE3041A,270044.0
BDCQ.SEE3042A,415274.0
BDCQ.SEE3043A,617866.0
BDCQ.SEE3044A,792712.0
BDCQ.SEE3045A,584937.0
BDCQ.SEE3046A,2102564.0
BDCQ.SEE3047A,7637473.0
BDCQ.SEE3048A,505439.0
BDCQ.SEE3049A,137785.0
BDCQ.SEE3050A,140305.0
BDCQ.SEE3051A,950339.0
BDCQ.SEE3052A,1242090.0
BDCQ.SEE3053A,1072586.0
BDCQ.SEE3054A,67756.0
BDCQ.SEE3055A,193126.0
BDCQ.SEE3056A,316284.0
BDCQ.SEE3057A,170785.0
BDCQ.SEE3058A,216769.0
BDCQ.SEE3059A,684945.0
BDCQ.SEE3060A,10040921.0
BDCQ.SEE3062A,855819.0
BDCQ.SEE3063A,786025.0
BDCQ.SEE3064A,1092879.0
BDCQ.SEE3065A,95945.0
BDCQ.SEE3066A,117641.0
BDCQ.SEE3067A,15181.0
BDCQ.SEE3068A,485760.0
BDCQ.SEE3069A,512125.0
BDCQ.SEE3070A,1053995.0
BDCQ.SEE3071A,2788388.0
BDCQ.SEE3072A,362422.0
BDCQ.SEE3073A,644844.0
BDCQ.SEE3074A,295294.0
BDCQ.SEE3075A,1304733.0
BDCQ.SEE3076A,36354860.0
BDCQ.SEE3999A,0.0
